Fig.2c.fw.Voltage (V),Fig.2c.fw.J (mA/cm2),Fig.2c.rv.Voltage (V),Fig.2c.rv.J (mA/cm2),Fig.3b.Planar.Voltage (V),Fig.3b.Planar.J (mA/cm),Fig.3b.Nano.Voltage (V),Fig.3b.Nano.J (mA/cm),Fig.3b.Micro.Voltage (V),Fig.3b.Micro.J (mA/cm)
1.1,-9.11262,-0.1,-20.3202,0.6,16.78306,0.6,17.74006,0.6,18.08491
1.11,-7.47026,-0.11,-20.3362,0.59,16.78431,0.59,17.74464,0.59,18.0951
1.12,-5.6896,-0.12,-20.3338,0.58,16.78682,0.58,17.75621,0.58,18.10271
1.13,-3.77828,-0.13,-20.3328,0.57,16.7941,0.57,17.76359,0.57,18.10385
1.14,-1.74327,-0.14,-20.3478,0.56,16.79813,0.56,17.77213,0.56,18.11333
1.15,0.418896,-0.15,-20.3562,0.55,16.79808,0.55,17.77878,0.55,18.11655
1.16,2.67834,-0.16,-20.3646,0.54,16.80656,0.54,17.79169,0.54,18.12331
1.17,5.06282,-0.17,-20.3604,0.53,16.81199,0.53,17.79158,0.53,18.13206
1.18,7.55794,-0.18,-20.354,0.52,16.8146,0.52,17.80116,0.52,18.13393
1.19,10.14358,-0.19,-20.3496,0.51,16.81762,0.51,17.80855,0.51,18.13924
1.2,12.81864,-0.2,-20.3534,0.5,16.82157,0.5,17.81677,0.5,18.14684
,,,,0.49,16.82631,0.49,17.82604,0.49,18.15319
,,,,0.48,16.83042,0.48,17.83583,0.48,18.15517
,,,,0.47,16.83167,0.47,17.8406,0.47,18.16234
,,,,0.46,16.83905,0.46,17.84709,0.46,18.16578
,,,,0.45,16.84145,0.45,17.85372,0.45,18.17307
,,,,0.44,16.84385,0.44,17.86122,0.44,18.18181
,,,,0.43,16.84813,0.43,17.86893,0.43,18.18013
,,,,0.42,16.85291,0.42,17.87673,0.42,18.19003
,,,,0.41,16.85539,0.41,17.88475,0.41,18.19952
,,,,0.4,16.85482,0.4,17.89266,0.4,18.19503
,,,,0.39,16.86466,0.39,17.89859,0.39,18.20451
,,,,0.38,16.86571,0.38,17.90379,0.38,18.21076
,,,,0.37,16.87123,0.37,17.91337,0.37,18.21179
,,,,0.36,16.87736,0.36,17.9242,0.36,18.21867
,,,,0.35,16.87831,0.35,17.92451,0.35,18.2277
,,,,0.34,16.88382,0.34,17.93168,0.34,18.22731
,,,,0.33,16.8861,0.33,17.94515,0.33,18.23304
,,,,0.32,16.88528,0.32,17.94907,0.32,18.23686
,,,,0.31,16.89377,0.31,17.9524,0.31,18.23735
,,,,0.3,16.89289,0.3,17.9627,0.3,18.24385
,,,,0.29,16.89569,0.29,17.96708,0.29,18.24729
,,,,0.28,16.90327,0.28,17.97155,0.28,18.25219
,,,,0.27,16.90339,0.27,17.98113,0.27,18.25625
,,,,0.26,16.90578,0.26,17.98602,0.26,18.26009
,,,,0.25,16.91202,0.25,17.98883,0.25,18.26507
,,,,0.24,16.9139,0.24,17.99956,0.24,18.26946
,,,,0.23,16.91495,0.23,18.00684,0.23,18.2707
,,,,0.22,16.92036,0.22,18.01185,0.22,18.27405
,,,,0.21,16.92598,0.21,18.02183,0.21,18.28322
,,,,0.2,16.92474,0.2,18.0236,0.2,18.28445
